Date,Close
1/2/2020,13.34
1/3/2020,13.38
1/6/2020,13.39
1/7/2020,13.4
1/8/2020,13.41
1/9/2020,13.4
1/10/2020,13.41
1/13/2020,13.41
1/14/2020,13.42
1/15/2020,13.43
1/16/2020,13.44
1/17/2020,13.44
1/21/2020,13.45
1/22/2020,13.46
1/23/2020,13.47
1/24/2020,13.48
1/27/2020,13.5
1/28/2020,13.51
1/29/2020,13.51
1/30/2020,13.53
1/31/2020,13.53
2/3/2020,13.53
2/4/2020,13.51
2/5/2020,13.49
2/6/2020,13.49
2/7/2020,13.5
2/10/2020,13.51
2/11/2020,13.51
2/12/2020,13.51
2/13/2020,13.51
2/14/2020,13.51
2/18/2020,13.53
2/19/2020,13.54
2/20/2020,13.56
2/21/2020,13.59
2/24/2020,13.64
2/25/2020,13.66
2/26/2020,13.67
2/27/2020,13.69
2/28/2020,13.7
3/2/2020,13.7
3/3/2020,13.68
3/4/2020,13.68
3/5/2020,13.68
3/6/2020,13.7
3/9/2020,13.73
3/10/2020,13.64
3/11/2020,13.45
3/12/2020,13.09
3/13/2020,13.11
3/16/2020,13.08
3/17/2020,13.02
3/18/2020,12.91
3/19/2020,12.56
3/20/2020,12.24
3/23/2020,12.27
3/24/2020,12.39
3/25/2020,12.83
3/26/2020,13.18
3/27/2020,13.22
3/30/2020,13.22
3/31/2020,13.14
4/1/2020,12.84
4/2/2020,12.77
4/3/2020,12.85
4/6/2020,12.92
4/7/2020,12.97
4/8/2020,13
4/9/2020,13.05
4/13/2020,13.11
4/14/2020,13.13
4/15/2020,13.13
4/16/2020,13.13
4/17/2020,13.12
4/20/2020,13.1
4/21/2020,13.06
4/22/2020,13.01
4/23/2020,12.97
4/24/2020,12.93
4/27/2020,12.92
4/28/2020,12.88
4/29/2020,12.83
4/30/2020,12.83
5/1/2020,12.88
5/4/2020,12.91
5/5/2020,12.92
5/6/2020,12.93
5/7/2020,12.94
5/8/2020,12.97
5/11/2020,12.99
5/12/2020,12.98
5/13/2020,13
5/14/2020,13.02
5/15/2020,13.05
5/18/2020,13.06
5/19/2020,13.07
5/20/2020,13.1
5/21/2020,13.13
5/22/2020,13.16
5/26/2020,13.17
5/27/2020,13.18
5/28/2020,13.18
5/29/2020,13.19
6/1/2020,13.2
6/2/2020,13.2
6/3/2020,13.22
6/4/2020,13.24
6/5/2020,13.24
6/8/2020,13.24
6/9/2020,13.26
6/10/2020,13.28
6/11/2020,13.31
6/12/2020,13.31
6/15/2020,13.32
6/16/2020,13.31
6/17/2020,13.31
