Date,Close
1/2/2020,28.47
1/3/2020,28.38
1/6/2020,28.41
1/7/2020,28.35
1/8/2020,28.41
1/9/2020,28.51
1/10/2020,28.45
1/13/2020,28.53
1/14/2020,28.55
1/15/2020,28.62
1/16/2020,28.76
1/17/2020,28.79
1/21/2020,28.75
1/22/2020,28.76
1/23/2020,28.78
1/24/2020,28.68
1/27/2020,28.35
1/28/2020,28.52
1/29/2020,28.56
1/30/2020,28.54
1/31/2020,28.23
2/3/2020,28.34
2/4/2020,28.59
2/5/2020,28.8
2/6/2020,28.89
2/7/2020,28.82
2/10/2020,28.95
2/11/2020,29.03
2/12/2020,29.13
2/13/2020,29.11
2/14/2020,29.11
2/18/2020,29.08
2/19/2020,29.17
2/20/2020,29.1
2/21/2020,28.98
2/24/2020,28.38
2/25/2020,27.92
2/26/2020,27.88
2/27/2020,27.22
2/28/2020,27.15
3/2/2020,27.8
3/3/2020,27.48
3/4/2020,28.18
3/5/2020,27.71
3/6/2020,27.5
3/9/2020,26.22
3/10/2020,26.75
3/11/2020,25.91
3/12/2020,24.42
3/13/2020,25.52
3/16/2020,23.66
3/17/2020,24.18
3/18/2020,23.08
3/19/2020,23.14
3/20/2020,22.82
3/23/2020,22.6
3/24/2020,23.71
3/25/2020,24.07
3/26/2020,25.05
3/27/2020,24.58
3/30/2020,25.07
3/31/2020,24.91
4/1/2020,24.29
4/2/2020,24.64
4/3/2020,24.46
4/6/2020,25.35
4/7/2020,25.33
4/8/2020,25.82
4/9/2020,26.12
4/13/2020,25.99
4/14/2020,26.46
4/15/2020,26.19
4/16/2020,26.33
4/17/2020,26.71
4/20/2020,26.39
4/21/2020,25.93
4/22/2020,26.27
4/23/2020,26.29
4/24/2020,26.5
4/27/2020,26.69
4/28/2020,26.65
4/29/2020,27.01
4/30/2020,26.85
5/1/2020,26.43
5/4/2020,26.48
5/5/2020,26.59
5/6/2020,26.43
5/7/2020,26.6
5/8/2020,26.82
5/11/2020,26.79
5/12/2020,26.52
5/13/2020,26.28
5/14/2020,26.45
5/15/2020,26.48
5/18/2020,26.91
5/19/2020,26.78
5/20/2020,27.03
5/21/2020,26.93
5/22/2020,26.97
5/26/2020,27.19
5/27/2020,27.47
5/28/2020,27.46
5/29/2020,27.56
6/1/2020,27.61
6/2/2020,27.75
6/3/2020,27.99
6/4/2020,27.95
6/5/2020,28.36
6/8/2020,28.57
6/9/2020,28.44
6/10/2020,28.38
6/11/2020,27.36
6/12/2020,27.55
6/15/2020,27.46
6/16/2020,27.75
6/17/2020,27.73
6/18/2020,27.73
6/19/2020,27.66
6/22/2020,27.74
6/23/2020,27.78
6/24/2020,27.4
6/25/2020,27.56
6/26/2020,27.24
6/29/2020,27.44
